product_name,image_url,price,page
HS Fitness Pro Adjustable Bench,"https://res.cloudinary.com/moresport/image/upload/a_0,c_fill,f_auto,h_350,q_auto:good,w_350/v1575961299/assets/1169819_1169819-1_001.jpg",R 3999.90,2
OTG 6KG Dipping Dumbbell,"https://res.cloudinary.com/moresport/image/upload/a_0,c_fill,f_auto,h_350,q_auto:good,w_350/v1575961299/assets/1174699_1174699-9_001.jpg",R 299.90,2
HS Fitness 40Kg Rubber Hex Dumbbell,"https://res.cloudinary.com/moresport/image/upload/a_0,c_fill,f_auto,h_350,q_auto:good,w_350/v1575961299/assets/1171589_1171589-svsu_001.jpg",R 1999.90,2
HS Fitness 5Kg Rubber Hex Dumbbell,"https://res.cloudinary.com/moresport/image/upload/a_0,c_fill,f_auto,h_350,q_auto:good,w_350/v1575961299/assets/1171581_1171581-svsu_001.jpg",R 249.90,2
HS Fitness 12.5Kg Rubber Hex Dumbbell,"https://res.cloudinary.com/moresport/image/upload/a_0,c_fill,f_auto,h_350,q_auto:good,w_350/v1575961299/assets/1171584_1171584-svsu_001.jpg",R 649.90,2
HS Fitness 15Kg Rubber Hex Dumbbell,"https://res.cloudinary.com/moresport/image/upload/a_0,c_fill,f_auto,h_350,q_auto:good,w_350/v1575961299/assets/1171585_1171585-svsu_001.jpg",R 749.90,2
HS Fitness 20Kg Rubber Hex Dumbbell,"https://res.cloudinary.com/moresport/image/upload/a_0,c_fill,f_auto,h_350,q_auto:good,w_350/v1575961299/assets/1171586_1171586-svsu_001.jpg",R 999.90,2
HS Fitness 7.5Kg Rubber Hex Dumbbell,"https://res.cloudinary.com/moresport/image/upload/a_0,c_fill,f_auto,h_350,q_auto:good,w_350/v1575961299/assets/1171582_1171582-svsu_001.jpg",R 399.90,2
HS Fitness 10Kg Rubber Hex Dumbbell,"https://res.cloudinary.com/moresport/image/upload/a_0,c_fill,f_auto,h_350,q_auto:good,w_350/v1575961299/assets/1171583_1171583-svsu_001.jpg",R 499.90,2
HS Fitness 28kg Competition Kettlebell,"https://res.cloudinary.com/moresport/image/upload/a_0,c_fill,f_auto,h_350,q_auto:good,w_350/v1575961299/assets/1170433_1170433-141_001.jpg",R 2299.90,2
HS Fitness 24kg Competition Kettlebell,"https://res.cloudinary.com/moresport/image/upload/a_0,c_fill,f_auto,h_350,q_auto:good,w_350/v1575961299/assets/1170432_1170432-9_001.jpg",R 1999.90,2
HS Fitness 8kg Competition Kettlebell,"https://res.cloudinary.com/moresport/image/upload/a_0,c_fill,f_auto,h_350,q_auto:good,w_350/v1575961299/assets/1170428_1170428-155_001.jpg",R 699.90,2
HS Fitness 12kg Competition Kettlebell,"https://res.cloudinary.com/moresport/image/upload/a_0,c_fill,f_auto,h_350,q_auto:good,w_350/v1575961299/assets/1170429_1170429-5_001.jpg",R 1099.90,2
HS Fitness 16kg Competition Kettlebell,"https://res.cloudinary.com/moresport/image/upload/a_0,c_fill,f_auto,h_350,q_auto:good,w_350/v1575961299/assets/1170430_1170430-61_001.jpg",R 1399.90,3
HS Fitness 20kg Competition Kettlebell,"https://res.cloudinary.com/moresport/image/upload/a_0,c_fill,f_auto,h_350,q_auto:good,w_350/v1575961299/assets/1170431_1170431-157_001.jpg",R 1799.90,3
HS Fitness 10kg 50mm Olympic Grip Plate,"https://res.cloudinary.com/moresport/image/upload/a_0,c_fill,f_auto,h_350,q_auto:good,w_350/v1575961299/assets/1169566_1169566-1_001.jpg",R 599.90,3
HS Fitness 20kg 50mm Olympic Grip Plate,"https://res.cloudinary.com/moresport/image/upload/a_0,c_fill,f_auto,h_350,q_auto:good,w_350/v1575961299/assets/1169567_1169567-1_001.jpg",R 1199.90,3
HS Fitness 2.5kg 50mm Olympic Grip Plate,"https://res.cloudinary.com/moresport/image/upload/a_0,c_fill,f_auto,h_350,q_auto:good,w_350/v1575961299/assets/1169563_1169563-1_001.jpg",R 149.90,3
